offer_id,customer_id,campaign_id,product_name,lead_source,decile_group,loan_amount,interest_rate
OFFER-00001,CUST-001A4B63,CMP-006,Personal Loan,Partner_Referral,4,15000,12.5
OFFER-00002,CUST-001F6646,CMP-002,Personal Loan,Organic_Web_Form,4,5000,14.99
OFFER-00003,CUST-002BF840,CMP-001,Personal Loan,Cold_Bought_List,3,5000,14.99
OFFER-00004,CUST-00430667,CMP-002,Signature Credit Card,Cold_Bought_List,1,2000,21.99
OFFER-00005,CUST-00517C3F,CMP-007,Personal Loan,Organic_Web_Form,6,8000,10.99
OFFER-00006,CUST-00985066,CMP-001,Signature Credit Card,Cold_Bought_List,6,3000,16.99
OFFER-00007,CUST-00A5CC4E,CMP-002,Signature Credit Card,Cold_Bought_List,5,5000,17.99
OFFER-00008,CUST-00A5CC4E,CMP-005,Signature Credit Card,Cold_Bought_List,1,500,24.99
OFFER-00009,CUST-00BCD42E,CMP-003,Signature Credit Card,Partner_Referral,10,10000,8.49
OFFER-00010,CUST-00C85756,CMP-008,Personal Loan,Partner_Referral,5,8000,12.49
OFFER-00011,CUST-00CD13A1,CMP-003,Signature Credit Card,Partner_Referral,10,7500,12.5
OFFER-00012,CUST-00D3BA78,CMP-002,Personal Loan,Organic_Web_Form,7,20000,6.99
OFFER-00013,CUST-00E114AF,CMP-003,Signature Credit Card,Cold_Bought_List,1,500,26.99
OFFER-00014,CUST-00F525DC,CMP-001,Signature Credit Card,Organic_Web_Form,8,15000,13.99
OFFER-00015,CUST-00FA32D2,CMP-003,Signature Credit Card,Partner_Referral,10,7500,9.99
OFFER-00016,CUST-0103A06F,CMP-004,Signature Credit Card,Organic_Web_Form,9,7500,14.99
OFFER-00017,CUST-0103A06F,CMP-005,Signature Credit Card,Organic_Web_Form,9,12000,14.99
OFFER-00018,CUST-01155B49,CMP-006,Personal Loan,Partner_Referral,4,6000,11.49
OFFER-00019,CUST-0115F163,CMP-002,Signature Credit Card,Partner_Referral,10,3000,13.99
