call_code,count
OPENING,9959
PRODUCT_PITCH,6034
HARD_REJECTION,4633
NEEDS_ANALYSIS,3287
FEE_DISCUSSION,2583
SOFT_REJECTION,2432
PASSIVE_AGREEMENT,2410
ANGRY_OUTBURST,2290
SUSPICIOUS_PROBING,1950
DEFENSIVE_POSTURE,1890
FOLLOW_UP_EMAIL_REQUESTED,1876
CURIOUS_EXPLORATION,1766
SUDDEN_HANG_UP,1548
ANNOYED_SIGHING,1477
OVERWHELMED_CONFUSION,1337
WARM_LEAD,1155
SARCASTIC_MOCKERY,1091
APATHETIC_RESPONSE,1043
COMPETITOR_COMPARISON,944
DO_NOT_CALL_REQUEST,781
FREQUENT_INTERRUPTIONS,775
STALLING_FOR_TIME,641
RUSHING_THE_CALL,627
ACTIVE_LISTENING,619
OBJECTION_HANDLING,556
THREATENING_COMPLAINT,506
INDECISIVE_FLIPPING,405
DEMANDING_MANAGER,346
ENTHUSIASTIC_AGREEMENT,252
SUCCESSFUL_SALE,133
CLOSING_NEGOTIATION,82
MISUNDERSTANDING,1
