split,call_code,count
all,OPENING,2247
all,NEEDS_ANALYSIS,2000
all,PRODUCT_PITCH,946
all,FEE_DISCUSSION,901
all,CURIOUS_EXPLORATION,539
all,ACTIVE_LISTENING,292
all,PASSIVE_AGREEMENT,257
all,WARM_LEAD,193
all,SUCCESSFUL_SALE,190
all,SOFT_REJECTION,128
all,OBJECTION_HANDLING,111
all,MISUNDERSTANDING,67
all,FOLLOW_UP_EMAIL_REQUESTED,44
all,DEFENSIVE_POSTURE,34
all,OVERWHELMED_CONFUSION,33
all,ENTHUSIASTIC_AGREEMENT,29
all,COMPETITOR_COMPARISON,27
all,CLOSING_NEGOTIATION,21
all,SUSPICIOUS_PROBING,17
all,STALLING_FOR_TIME,16
all,ANGRY_OUTBURST,14
all,SUDDEN_HANG_UP,12
all,HARD_REJECTION,7
all,RUSHING_THE_CALL,5
all,THREATENING_COMPLAINT,4
all,DEMANDING_MANAGER,3
all,DO_NOT_CALL_REQUEST,2
all,APATHETIC_RESPONSE,2
all,INDECISIVE_FLIPPING,1
all,SARCASTIC_MOCKERY,1
test,ACTIVE_LISTENING,47
test,ANGRY_OUTBURST,2
test,APATHETIC_RESPONSE,1
test,CLOSING_NEGOTIATION,2
test,COMPETITOR_COMPARISON,3
test,CURIOUS_EXPLORATION,80
test,DEFENSIVE_POSTURE,5
test,DO_NOT_CALL_REQUEST,2
test,ENTHUSIASTIC_AGREEMENT,7
test,FEE_DISCUSSION,131
test,FOLLOW_UP_EMAIL_REQUESTED,3
test,HARD_REJECTION,2
test,MISUNDERSTANDING,5
test,NEEDS_ANALYSIS,300
test,OBJECTION_HANDLING,10
test,OPENING,346
test,OVERWHELMED_CONFUSION,6
test,PASSIVE_AGREEMENT,40
test,PRODUCT_PITCH,149
test,SOFT_REJECTION,15
test,STALLING_FOR_TIME,2
test,SUCCESSFUL_SALE,28
test,SUDDEN_HANG_UP,3
test,SUSPICIOUS_PROBING,1
test,THREATENING_COMPLAINT,2
test,WARM_LEAD,32
train,ACTIVE_LISTENING,205
train,ANGRY_OUTBURST,10
train,APATHETIC_RESPONSE,1
train,CLOSING_NEGOTIATION,17
train,COMPETITOR_COMPARISON,19
train,CURIOUS_EXPLORATION,388
train,DEFENSIVE_POSTURE,22
train,DEMANDING_MANAGER,3
train,ENTHUSIASTIC_AGREEMENT,13
train,FEE_DISCUSSION,647
train,FOLLOW_UP_EMAIL_REQUESTED,30
train,HARD_REJECTION,3
train,INDECISIVE_FLIPPING,1
train,MISUNDERSTANDING,49
train,NEEDS_ANALYSIS,1414
train,OBJECTION_HANDLING,84
train,OPENING,1587
train,OVERWHELMED_CONFUSION,21
train,PASSIVE_AGREEMENT,185
train,PRODUCT_PITCH,672
train,RUSHING_THE_CALL,4
train,SOFT_REJECTION,94
train,STALLING_FOR_TIME,13
train,SUCCESSFUL_SALE,137
train,SUDDEN_HANG_UP,8
train,SUSPICIOUS_PROBING,11
train,THREATENING_COMPLAINT,2
train,WARM_LEAD,133
valid,ACTIVE_LISTENING,40
valid,ANGRY_OUTBURST,2
valid,CLOSING_NEGOTIATION,2
valid,COMPETITOR_COMPARISON,5
valid,CURIOUS_EXPLORATION,71
valid,DEFENSIVE_POSTURE,7
valid,ENTHUSIASTIC_AGREEMENT,9
valid,FEE_DISCUSSION,123
valid,FOLLOW_UP_EMAIL_REQUESTED,11
valid,HARD_REJECTION,2
valid,MISUNDERSTANDING,13
valid,NEEDS_ANALYSIS,286
valid,OBJECTION_HANDLING,17
valid,OPENING,314
valid,OVERWHELMED_CONFUSION,6
valid,PASSIVE_AGREEMENT,32
valid,PRODUCT_PITCH,125
valid,RUSHING_THE_CALL,1
valid,SARCASTIC_MOCKERY,1
valid,SOFT_REJECTION,19
valid,STALLING_FOR_TIME,1
valid,SUCCESSFUL_SALE,25
valid,SUDDEN_HANG_UP,1
valid,SUSPICIOUS_PROBING,5
valid,WARM_LEAD,28
