model,train_dataset,eval_dataset,train_rows,eval_rows,subset_accuracy,exact_match_rate,avg_jaccard,micro_f1,macro_f1,weighted_f1,hamming_loss
M0_primary_bow,primary_telesales,primary_valid,13857,1732,0.2632794457274827,0.263279,0.62309,0.7308913825958078,0.6501259796011633,0.7326225149173362,0.06879691108545034
M0_primary_bow,primary_telesales,primary_test,13857,1733,0.2527409117137911,0.252741,0.616301,0.726078666760822,0.6407348432110035,0.7267252492220148,0.06994734564339296
M1_primary_to_callcenteren,primary_telesales,callcenteren_valid,13857,315,0.006349206349206349,0.006349,0.360819,0.506553911205074,0.09321802485284207,0.5217244412660416,0.11577380952380953
M1_primary_to_callcenteren,primary_telesales,callcenteren_test,13857,347,0.005763688760806916,0.005764,0.351444,0.4952755905511811,0.09307026640974608,0.5140185940304648,0.11545389048991354
M2_callcenteren_bow,callcenteren,callcenteren_valid,1598,315,0.12063492063492064,0.120635,0.61164,0.7401646843549863,0.17259615481444052,0.7109958087783272,0.05634920634920635
M2_callcenteren_bow,callcenteren,callcenteren_test,1598,347,0.1239193083573487,0.123919,0.592905,0.7291399229781772,0.1588955060150612,0.7061815699292354,0.05700648414985591
M3_callcenteren_to_primary,callcenteren,primary_valid,1598,1732,0.0005773672055427252,0.000577,0.218726,0.34173393308275307,0.14902246864561025,0.32350923741077714,0.19275043302540415
M3_callcenteren_to_primary,callcenteren,primary_test,1598,1733,0.0,0.0,0.217603,0.3405481635906555,0.14507231173573393,0.3181498604622752,0.19393753606462782
M4_combined_bow,primary_telesales+callcenteren,primary_valid,15455,1732,0.25635103926096997,0.256351,0.619885,0.7283489535621168,0.6428654465903665,0.7303683206996485,0.06955470554272518
M4_combined_bow,primary_telesales+callcenteren,primary_test,15455,1733,0.24985574148874784,0.249856,0.613863,0.7237666267858399,0.6389318500073512,0.7249043474886149,0.0707768320830929
M4_combined_bow,primary_telesales+callcenteren,callcenteren_valid,15455,315,0.06349206349206349,0.063492,0.557725,0.6956896551724138,0.20111922532798832,0.6997219775273085,0.07003968253968254
M4_combined_bow,primary_telesales+callcenteren,callcenteren_test,15455,347,0.08357348703170028,0.083573,0.562515,0.7032438926712055,0.18709407625861574,0.7100827579126499,0.06673270893371758
