split,call_code,count
all,OPENING,298
all,NEEDS_ANALYSIS,264
all,PRODUCT_PITCH,125
all,FEE_DISCUSSION,124
all,CURIOUS_EXPLORATION,61
all,ACTIVE_LISTENING,39
all,PASSIVE_AGREEMENT,34
all,WARM_LEAD,23
all,SOFT_REJECTION,23
all,OBJECTION_HANDLING,22
all,SUCCESSFUL_SALE,20
all,MISUNDERSTANDING,12
all,FOLLOW_UP_EMAIL_REQUESTED,7
all,COMPETITOR_COMPARISON,5
all,OVERWHELMED_CONFUSION,5
all,CLOSING_NEGOTIATION,4
all,DEFENSIVE_POSTURE,4
all,STALLING_FOR_TIME,3
all,ENTHUSIASTIC_AGREEMENT,3
all,ANGRY_OUTBURST,1
all,DO_NOT_CALL_REQUEST,1
test,ACTIVE_LISTENING,7
test,CLOSING_NEGOTIATION,1
test,COMPETITOR_COMPARISON,1
test,CURIOUS_EXPLORATION,10
test,DEFENSIVE_POSTURE,1
test,DO_NOT_CALL_REQUEST,1
test,FEE_DISCUSSION,16
test,FOLLOW_UP_EMAIL_REQUESTED,1
test,MISUNDERSTANDING,1
test,NEEDS_ANALYSIS,40
test,OBJECTION_HANDLING,1
test,OPENING,49
test,OVERWHELMED_CONFUSION,1
test,PASSIVE_AGREEMENT,8
test,PRODUCT_PITCH,23
test,SOFT_REJECTION,2
test,SUCCESSFUL_SALE,1
test,WARM_LEAD,2
train,ACTIVE_LISTENING,28
train,ANGRY_OUTBURST,1
train,CLOSING_NEGOTIATION,3
train,COMPETITOR_COMPARISON,3
train,CURIOUS_EXPLORATION,44
train,DEFENSIVE_POSTURE,2
train,ENTHUSIASTIC_AGREEMENT,2
train,FEE_DISCUSSION,86
train,FOLLOW_UP_EMAIL_REQUESTED,4
train,MISUNDERSTANDING,9
train,NEEDS_ANALYSIS,178
train,OBJECTION_HANDLING,19
train,OPENING,201
train,OVERWHELMED_CONFUSION,1
train,PASSIVE_AGREEMENT,19
train,PRODUCT_PITCH,84
train,SOFT_REJECTION,19
train,STALLING_FOR_TIME,3
train,SUCCESSFUL_SALE,16
train,WARM_LEAD,15
valid,ACTIVE_LISTENING,4
valid,COMPETITOR_COMPARISON,1
valid,CURIOUS_EXPLORATION,7
valid,DEFENSIVE_POSTURE,1
valid,ENTHUSIASTIC_AGREEMENT,1
valid,FEE_DISCUSSION,22
valid,FOLLOW_UP_EMAIL_REQUESTED,2
valid,MISUNDERSTANDING,2
valid,NEEDS_ANALYSIS,46
valid,OBJECTION_HANDLING,2
valid,OPENING,48
valid,OVERWHELMED_CONFUSION,3
valid,PASSIVE_AGREEMENT,7
valid,PRODUCT_PITCH,18
valid,SOFT_REJECTION,2
valid,SUCCESSFUL_SALE,3
valid,WARM_LEAD,6
