model,train_dataset,eval_dataset,train_rows,eval_rows,subset_accuracy,exact_match_rate,avg_jaccard,micro_f1,macro_f1,weighted_f1,hamming_loss
M0_primary_bow,primary_telesales,primary_valid,80,40,0.0,0.0,0.355,0.5176470588235295,0.2192885647848883,0.43739428463693175,0.09609375
M0_primary_bow,primary_telesales,primary_test,80,40,0.0,0.0,0.263155,0.4032258064516129,0.15135281385281385,0.33400432900432897,0.115625
M1_primary_to_callcenteren,primary_telesales,callcenteren_valid,80,40,0.0,0.0,0.225952,0.35772357723577236,0.046651785714285715,0.29042692939244663,0.1234375
M1_primary_to_callcenteren,primary_telesales,callcenteren_test,80,40,0.0,0.0,0.265655,0.4,0.059489153499764066,0.34123295381894425,0.1078125
M2_callcenteren_bow,callcenteren,callcenteren_valid,80,40,0.1,0.1,0.60375,0.7286821705426356,0.10258853255260914,0.6617338389628715,0.0546875
M2_callcenteren_bow,callcenteren,callcenteren_test,80,40,0.1,0.1,0.607917,0.7392996108949417,0.1184032382847038,0.7093362761787878,0.05234375
M3_callcenteren_to_primary,callcenteren,primary_valid,80,40,0.0,0.0,0.254673,0.38922155688622756,0.07893760435573816,0.3025344007518303,0.159375
M3_callcenteren_to_primary,callcenteren,primary_test,80,40,0.0,0.0,0.206994,0.32941176470588235,0.07120831427765864,0.22794141004599874,0.178125
M4_combined_bow,primary_telesales+callcenteren,primary_valid,160,40,0.0,0.0,0.313214,0.4740740740740741,0.20808499094321276,0.4158456564648515,0.1109375
M4_combined_bow,primary_telesales+callcenteren,primary_test,160,40,0.0,0.0,0.262321,0.4,0.16170835743204165,0.3399984335839599,0.11953125
M4_combined_bow,primary_telesales+callcenteren,callcenteren_valid,160,40,0.1,0.1,0.565238,0.6888888888888889,0.09981351981351981,0.6460303834096937,0.065625
M4_combined_bow,primary_telesales+callcenteren,callcenteren_test,160,40,0.15,0.15,0.5925,0.7203065134099617,0.10531559852473475,0.6857231069443652,0.05703125
